"_id","emotion","id","negative_prob","positive_prob"
"6039c317c24900009500a136","1","ABYF1q0QJ","0.00888903","0.991111"
"6039c317c24900009500a137","-1","zt2SalLef","0.672566","0.327434"
"6039c317c24900009500a138","-1","CcAdv8Irm","0.650669","0.349331"
"6039c317c24900009500a139","-1","DvrCX1dVL","0.998234","0.00176581"
"6039c317c24900009500a13a","-1","BnL6JnBPD","0.649013","0.350987"
"6039c317c24900009500a13b","-1","Gnia2oh6B","0.999957","4.34059e-05"
"6039c317c24900009500a13c","1","zADf6i1uI","0.064278","0.935722"
"6039c317c24900009500a13d","-1","zmDOn0WpU","0.999326","0.000673938"
"6039c317c24900009500a13e","-1","G2NwAAXNI","0.990828","0.00917189"
"6039c317c24900009500a13f","1","BbGld0BZD","0.0951462","0.904854"
"6039c317c24900009500a140","1","zt3Gm9N1W","0.307498","0.692502"
"6039c317c24900009500a141","-1","zqruprr9d","0.996665","0.00333455"
"6039c317c24900009500a142","1","A5DWb4TX1","0.0241664","0.975834"
"6039c317c24900009500a143","-1","ze1Scvmrc","0.996769","0.0032305"
"6039c317c24900009500a144","-1","AmY3ZD84M","0.99961","0.000390375"
"6039c317c24900009500a145","-1","HuVcVp7ul","0.98494","0.0150601"
"6039c317c24900009500a146","-1","yByzWrvB5","0.999617","0.000382649"
"6039c317c24900009500a147","-1","zsxAZq3nd","0.995259","0.0047408"
"6039c317c24900009500a148","-1","CvKRf6kqg","0.999861","0.000138542"
"6039c317c24900009500a149","-1","DrTNrqWyV","0.999993","6.66445e-06"
"6039c317c24900009500a14a","1","GuCINuOJ2","0.227766","0.772234"
"6039c317c24900009500a14b","-1","ztjYXegEZ","0.999997","3.4289e-06"
"6039c317c24900009500a14c","1","Ce1Nz52w1","0.182876","0.817124"
"6039c317c24900009500a14d","1","A0kXLjBy1","0.004964","0.995036"
"6039c317c24900009500a14e","1","Ce11thHf3","0.0412038","0.958796"
"6039c317c24900009500a14f","1","CeEbl4Pm7","0.0750886","0.924911"
"6039c317c24900009500a150","-1","CisYdxXxj","0.805558","0.194442"
"6039c317c24900009500a151","1","EwxYfzPuM","0.142562","0.857439"
"6039c317c24900009500a152","-1","zqN8ejall","0.95088","0.0491202"
"6039c317c24900009500a153","1","EAF3mssgg","0.322072","0.677928"
"6039c317c24900009500a154","-1","EwLH3BEhO","0.999944","5.57648e-05"
"6039c317c24900009500a155","-1","EwmyqhNjE","0.808746","0.191254"
"6039c317c24900009500a156","-1","FkfzNxk15","0.999965","3.50128e-05"
"6039c317c24900009500a157","1","B9hwCB7eZ","0.0761303","0.92387"
"6039c317c24900009500a158","-1","yzpIN3LiI","0.772914","0.227086"
"6039c317c24900009500a159","-1","CiqfEjxFC","0.839032","0.160968"
"6039c317c24900009500a15a","-1","B3X4QAmCT","0.999801","0.000198693"
"6039c317c24900009500a15b","1","CvjjixvZz","0.124136","0.875864"
"6039c317c24900009500a15c","-1","FcHEvxZZl","0.998976","0.00102366"
"6039c317c24900009500a15d","1","B7bxnnvNL","0.401132","0.598868"
"6039c317c24900009500a15e","1","CvKMK6Khm","0.00115327","0.998847"
"6039c317c24900009500a15f","-1","zd2d1xgDF","0.996837","0.00316335"
"6039c317c24900009500a160","-1","zmCkCvjeH","0.988285","0.0117148"
"6039c317c24900009500a161","-1","A5TTS2tIj","0.999631","0.00036949"
"6039c317c24900009500a162","1","AosVNxTwW","0.402858","0.597142"
"6039c317c24900009500a163","-1","C3R97jYZN","0.999986","1.40545e-05"
"6039c317c24900009500a164","-1","Hpz5IDYH7","0.999982","1.75597e-05"
"6039c317c24900009500a165","-1","zaa5tiAb5","0.962622","0.0373782"
"6039c317c24900009500a166","1","Cdri7b0rY","0.266227","0.733773"
"6039c317c24900009500a167","1","ChTYV8dYl","0.161063","0.838937"
"6039c317c24900009500a168","1","zndoFnLTV","0.00748689","0.992513"
"6039c317c24900009500a169","1","Hd1Eu65o7","0.000711417","0.999289"
"6039c317c24900009500a16a","1","C8P5446qn","0.262463","0.737537"
"6039c317c24900009500a16b","1","ChACNwO28","0.0346991","0.965301"
"6039c317c24900009500a16c","-1","yCObHcOXW","0.996213","0.00378651"
"6039c317c24900009500a16d","-1","ECdic5BTl","0.983525","0.0164755"
"6039c317c24900009500a16e","0","CvMuX9ZuK","0.488151","0.511849"
"6039c317c24900009500a16f","-1","AARuF0nyt","0.999742","0.000257993"
"6039c317c24900009500a170","-1","B914Z3jjb","0.963986","0.0360139"
"6039c317c24900009500a171","1","A0BwUAjIB","0.0589649","0.941035"
"6039c317c24900009500a172","-1","DxvXOe9W7","0.981392","0.0186077"
"6039c317c24900009500a173","1","z1vOImT7d","0.0293831","0.970617"
"6039c317c24900009500a174","-1","zwPrMnD5t","0.988856","0.0111439"
"6039c317c24900009500a175","-1","FmPHWBUbA","0.892097","0.107903"
"6039c317c24900009500a176","1","CdSzEjBKG","0.139742","0.860258"
"6039c317c24900009500a177","-1","zn0jGbPzr","0.996386","0.0036144"
"6039c317c24900009500a178","0","A51JyfVNq","0.541199","0.458801"
"6039c317c24900009500a179","-1","ztujJcW5r","0.999821","0.000179258"
"6039c317c24900009500a17a","-1","GmYBiE3ft","0.976203","0.0237966"
"6039c317c24900009500a17b","1","JomzTmNN5","0.0220417","0.977958"
"6039c317c24900009500a17c","0","A5Tk2cVSg","0.510376","0.489624"
"6039c317c24900009500a17d","-1","B7h6okI5v","0.97897","0.0210301"
"6039c317c24900009500a17e","-1","HtyPYjwcX","0.961962","0.038038"
"6039c317c24900009500a17f","-1","CqLH7gIoK","0.997179","0.00282092"
"6039c317c24900009500a180","1","A2MIq6e5j","0.127772","0.872228"
"6039c317c24900009500a181","-1","EDd8P5Cct","0.946364","0.0536365"
"6039c317c24900009500a182","-1","A2PTdxnvN","0.979953","0.0200471"
"6039c317c24900009500a183","-1","Bntw7hI70","0.999749","0.000250699"
"6039c317c24900009500a184","1","Ci3FfzFfK","0.196518","0.803482"
"6039c317c24900009500a185","-1","EDdY1htfv","0.997918","0.00208227"
"6039c317c24900009500a186","1","zA97MeMEN","0.0631063","0.936894"
"6039c317c24900009500a187","1","B91HszVTX","0.223102","0.776898"
"6039c317c24900009500a188","-1","J1ksJzE7N","0.997466","0.00253383"
"6039c317c24900009500a189","-1","Gga2hlDlB","0.998654","0.00134575"
"6039c317c24900009500a18a","-1","A4Ixjx0OX","0.999749","0.000251123"
"6039c317c24900009500a18b","-1","z97gifHmB","0.993899","0.00610079"
"6039c317c24900009500a18c","-1","DDxBfE6w2","0.801994","0.198006"
"6039c317c24900009500a18d","-1","GgYcf77mE","0.949549","0.0504512"
"6039c317c24900009500a18e","-1","zrppz3R3F","0.999994","6.03165e-06"
"6039c317c24900009500a18f","1","CiwcebG6Y","0.0859225","0.914077"
"6039c317c24900009500a190","-1","z0rPA1HeH","0.925467","0.0745328"
"6039c317c24900009500a191","-1","J50D6nV6e","0.995876","0.00412405"
"6039c317c24900009500a192","1","GnLxu4KIE","0.239815","0.760185"
"6039c317c24900009500a193","-1","z4JSu7NB6","0.997252","0.00274777"
"6039c317c24900009500a194","-1","zEQuCiRIj","0.99987","0.000130296"
"6039c317c24900009500a195","-1","AzfnjpjCH","0.861735","0.138265"
"6039c317c24900009500a196","1","B7gk7j8hi","0.349816","0.650184"
"6039c317c24900009500a197","-1","Ews3sfzp7","0.840207","0.159793"
"6039c317c24900009500a198","-1","ywgBpEaPo","0.999937","6.32782e-05"
"6039c317c24900009500a199","1","BsbfP9ZAW","0.0611651","0.938835"
"6039c317c24900009500a19a","-1","z9j2MAMOa","0.942868","0.0571321"
"6039c317c24900009500a19b","-1","E8BcezyuV","0.997459","0.00254152"
"6039c317c24900009500a19c","0","DyHxUbA22","0.540455","0.459545"
"6039c317c24900009500a19d","-1","yCpBLigQo","0.999972","2.77212e-05"
"6039c317c24900009500a19e","-1","B6Qc8EINN","0.997577","0.00242301"
"6039c317c24900009500a19f","-1","zzI8rh4Rs","0.99856","0.0014397"
"6039c317c24900009500a1a0","-1","EAz3nCVQZ","0.936377","0.0636233"
"6039c317c24900009500a1a1","1","GyopT4Vfg","0.243303","0.756697"
"6039c317c24900009500a1a2","1","z8mD9sgIE","0.0157252","0.984275"
"6039c317c24900009500a1a3","-1","HzTLthgVa","0.995453","0.00454729"
"6039c317c24900009500a1a4","-1","J93yi8Cui","0.999988","1.1898e-05"
"6039c317c24900009500a1a5","-1","BFbQCE5Y7","0.998735","0.00126502"
"6039c317c24900009500a1a6","-1","BsinRa006","0.927683","0.072317"
"6039c317c24900009500a1a7","-1","EAtQ5wdEu","0.959564","0.0404359"
"6039c317c24900009500a1a8","1","C3QWhjgWz","0.248275","0.751725"
"6039c317c24900009500a1a9","1","IwVj0CpvA","0.194211","0.805789"
"6039c317c24900009500a1aa","-1","ztjxfebB7","0.597549","0.402451"
